ad_observation_id,depth,temperature,density,salinity,ao_observation_id,latitude,longitude,date,region
2900885_03/01/2008,19.3,27.802,1021.801025,34.122,2900885_03/01/2008,8.892,87.291,2008-01-03,Bay of Bengal
1900346_03/01/2008,1999.6,2.344,1027.712036,34.711,1900346_03/01/2008,-46.434,99.749,2008-01-03,Indian Ocean
1900178_03/01/2008,4.4,28.457,1022.289978,35.058,1900178_03/01/2008,-21.464,37.332,2008-01-03,Indian Ocean
2900671_03/01/2008,759.0,6.436,1027.26001,34.701,2900671_03/01/2008,-9.452,80.634,2008-01-03,Equatorial Region
5901191_03/01/2008,1399.3,3.876,1027.524048,34.654,5901191_03/01/2008,-18.298,115.242,2008-01-03,Indian Ocean
1900507_03/01/2008,34.1,1.074,1027.774048,34.668,1900507_03/01/2008,-57.122,93.798,2008-01-03,Indian Ocean
5901237_03/01/2008,75.0,13.608,1026.458008,35.244,5901237_03/01/2008,-38.681,137.719,2008-01-03,Indian Ocean
5901190_03/01/2008,44.1,27.296,1022.461975,34.783,5901190_03/01/2008,-13.691,111.277,2008-01-03,Indian Ocean
2900623_03/01/2008,1208.7,7.534,1027.55603,35.271,2900623_03/01/2008,24.283,58.075,2008-01-03,Indian Ocean
5901248_03/01/2008,1362.0,3.77,1027.516968,34.632,5901248_03/01/2008,-21.525,84.656,2008-01-03,Indian Ocean
2900103_03/01/2008,26.3,28.696,1022.065002,34.864,2900103_03/01/2008,1.991,92.526,2008-01-03,Equatorial Region
2900100_03/01/2008,599.4,9.098,1027.119019,35.021,2900100_03/01/2008,2.547,91.206,2008-01-03,Equatorial Region
2900099_03/01/2008,379.3,10.118,1026.857056,34.904,2900099_03/01/2008,-5.841,70.61,2008-01-03,Equatorial Region
2900804_03/01/2008,64.6,24.043,1024.876953,36.646,2900804_03/01/2008,24.85,58.891,2008-01-03,Indian Ocean
2900598_03/01/2008,99.0,13.832,1026.276978,35.07,2900598_03/01/2008,-6.557,62.668,2008-01-03,Equatorial Region
5900848_03/01/2008,149.1,13.016,1026.583008,35.248,5900848_03/01/2008,-37.174,135.133,2008-01-03,Indian Ocean
5901100_03/01/2008,9.2,19.092,1025.75,35.983,5901100_03/01/2008,-32.508,109.69,2008-01-03,Indian Ocean
2900620_03/01/2008,54.4,24.811,1024.713013,36.736,2900620_03/01/2008,24.761,62.249,2008-01-03,Arabian Sea
5900856_03/01/2008,1799.1,2.746,1027.67395,34.707,5900856_03/01/2008,-20.232,104.84,2008-01-03,Indian Ocean
1900697_03/01/2008,1836.0,2.608,1027.649048,34.66,1900697_03/01/2008,-30.892,54.949,2008-01-03,Indian Ocean
1900647_03/01/2008,60.0,-0.794,0.0,33.867,1900647_03/01/2008,-59.722,31.188,2008-01-03,Indian Ocean
1900586_03/01/2008,1049.3,7.512,1027.452026,35.134,1900586_03/01/2008,4.503,61.156,2008-01-03,Equatorial Region
2900621_03/01/2008,437.8,14.371,1027.004028,36.159,2900621_03/01/2008,24.265,57.349,2008-01-03,Indian Ocean
1900421_03/01/2008,5.0,23.089,1024.241943,35.439,1900421_03/01/2008,-34.91,40.611,2008-01-03,Indian Ocean
2900394_03/01/2008,449.1,12.288,1027.014038,35.618,2900394_03/01/2008,16.47,66.664,2008-01-03,Arabian Sea
5901305_03/01/2008,1999.3,2.566,1027.644043,34.65,5901305_03/01/2008,-44.792,107.546,2008-01-03,Indian Ocean
1900461_03/01/2008,1999.5,2.612,1027.655029,34.668,1900461_03/01/2008,-38.974,70.215,2008-01-03,Indian Ocean
5901257_03/01/2008,1836.0,2.744,1027.634033,34.656,5901257_03/01/2008,-32.091,82.28,2008-01-03,Indian Ocean
5900685_03/01/2008,149.5,20.86,1025.072998,35.709,5900685_03/01/2008,-18.446,96.479,2008-01-03,Indian Ocean
2900392_03/01/2008,224.6,15.681,1026.152954,35.431,2900392_03/01/2008,13.417,50.75,2008-01-03,Indian Ocean
2900675_03/01/2008,194.6,12.577,1026.422974,34.93,2900675_03/01/2008,-5.886,83.995,2008-01-03,Equatorial Region
1900114_03/01/2008,1262.0,2.192,1027.748047,34.74,1900114_03/01/2008,-48.685,63.481,2008-01-03,Indian Ocean
2900678_04/01/2008,816.0,7.924,1027.276001,34.988,2900678_04/01/2008,1.332,77.973,2008-01-04,Equatorial Region
4900478_04/01/2008,398.0,2.159,1027.608032,34.562,4900478_04/01/2008,-59.021,89.871,2008-01-04,Indian Ocean
2900461_04/01/2008,289.3,12.41,1026.649048,35.179,2900461_04/01/2008,-13.561,67.384,2008-01-04,Indian Ocean
5900577_04/01/2008,359.6,11.607,1026.694946,35.04,5900577_04/01/2008,-32.74,93.043,2008-01-04,Indian Ocean
5900583_04/01/2008,89.6,22.286,1024.303955,35.217,5900583_04/01/2008,-23.883,109.052,2008-01-04,Indian Ocean
2900554_04/01/2008,1004.4,9.542,1027.406982,35.482,2900554_04/01/2008,23.268,62.783,2008-01-04,Arabian Sea
5900518_04/01/2008,559.4,8.96,1027.062988,34.921,5900518_04/01/2008,-4.132,100.162,2008-01-04,Equatorial Region
2900496_04/01/2008,299.1,13.3,1026.487061,35.199,2900496_04/01/2008,-14.74,43.466,2008-01-04,Indian Ocean
1900698_04/01/2008,1056.0,5.896,1027.098022,34.408,1900698_04/01/2008,-31.672,75.639,2008-01-04,Indian Ocean
1900699_04/01/2008,117.0,13.776,1026.457031,35.288,1900699_04/01/2008,-33.924,67.209,2008-01-04,Indian Ocean
5900857_04/01/2008,239.0,15.007,1026.105957,35.175,5900857_04/01/2008,-16.455,112.037,2008-01-04,Indian Ocean
2900101_04/01/2008,499.5,9.675,1027.035034,35.035,2900101_04/01/2008,1.305,88.466,2008-01-04,Equatorial Region
2900104_04/01/2008,4.7,25.186,1024.004028,35.949,2900104_04/01/2008,17.249,58.731,2008-01-04,Indian Ocean
5900863_04/01/2008,39.4,27.551,1022.258972,34.623,5900863_04/01/2008,-13.075,101.637,2008-01-04,Indian Ocean
5900860_04/01/2008,339.5,10.722,1026.756958,34.912,5900860_04/01/2008,-7.463,90.725,2008-01-04,Equatorial Region
